24.13763859782847,	101.91323943661969
24.47938783560059,	103.162099871959
25.00874775018399,	103.57183098591548
25.706208327349156,	104.85019206145965
26.342485986556504,	105.91549295774645
26.682811828134916,	106.59400768245837
27.077142742011745,	107.24302176696541
27.578261517661108,	108.16081946222789
28.174633708803768,	109.97183098591547
28.872009601700015,	110.24225352112674
29.40634611718812,	109.79974391805376
29.813578213487144,	109.01306017925734
29.859172924191913,	108.32471190781048
30.349876663682245,	110.38975672215106
30.59824437386422,	111.37311139564659
31.05043935783699,	112.526914212548
31.64442941588997,	111.61895006402047
32.289232751439506,	110.8224327784891
33.02783112292318,	110.36517285531367
33.23033649485073,	110.0947503201024
34.05285066926209,	110.58642765685018
35.10968172228053,	109.99641485275286
35.94207781376816,	109.50473751600511
36.75674288421517,	109.1113956466069
37.55159716750958,	107.90678617157488
38.559557629572794,	107.68553137003839
39.193242935256336,	108.81638924455824
39.26518107326085,	107.79370038412289
39.75625444328095,	106.12855313700383
39.91859531458883,	107.31677336747757
40.3684589547234,	106.28151941954758
40.78182377225839,	107.93137003841227
41.66371930386325,	108.64430217669653
42.3052967683018,	106.40717029449422
42.95675385102117,	105.62048655569781
43.707207426411266,	106.456338028169
44.26285321874053,	107.55769526248397
45.44566570448292,	108.29661605999632
46.42436140510175,	108.26571062740075
46.65193753453362,	107.43969270166451
47.41861249437882,	108.71805377720868
47.80666191994132,	109.79974391805376
48.19788694151474,	111.17644046094749
48.915160658260746,	112.159795134443
50.049362288259026,	110.02099871959025
50.14122653989236,	110.9994366197183
51.28817941274772,	111.91395646606912
51.28817941274772,	110.21766965428935
52.077963441948725,	110.51267605633801
52.71853824447698,	109.01306017925734
53.530348295546176,	107.98053777208705
54.24402205295276,	107.50524967989756
54.68792710395658,	108.12804097311138
55.530063672486776,	109.40640204865555
56.213100358647466,	111.71728553137002
56.63189360445818,	110.44594841777939
57.604481750158826,	112.159795134443
58.064055048940055,	110.86176696542891
58.970194656367646,	111.34033290653008
59.57403746794171,	112.84814340588987
59.9393070664742,	113.83149807938538
60.55307339222119,	114.78207426376439
61.4229191771795,	115.60153649167732
62.75117262319943,	115.20819462227911
63.25180664556444,	113.67416133162611
64.30438376662296,	113.19231754161329
64.83061762014933,	113.83149807938538
65.69494807838788,	114.4215108834827
66.50301593686565,	115.43764404609472
67.52709244888125,	116.33905249679896
68.91710030945733,	116.92906530089627
69.83591230103761,	117.07656850192059
71.783542633707,	115.89654289372598
72.22367304812065,	117.00281690140844
73.33584166390624,	116.28988476312418
73.93598430271066,	117.30601792573621
75.61182130280379,	117.69935979513441
76.30829058641937,	118.52701664532648
78.67652025029527,	115.94571062740074
81.11824797968619,	117.88783610755439
83.12607925088162,	118.23201024327783
83.3805275875934,	117.17490396927015
85.18360817351794,	118.15825864276566
87.02567987275633,	117.6665813060179
88.63627086322393,	117.76491677336746
89.62531310459912,	118.6975357150053
91.10821808951302,	119.80537772087067
93.2682526133232,	120.19052496798975
94.80101711585253,	120.32163892445581
96.62028055234478,	119.5035160893832
97.53219431343209,	120.81323419774725
100.1624987577786,	122.28834827144685
103.58715628688236,	123.66504481434058
105.14426841055067,	126.15285417800072
107.12890633401543,	128.43431498079383
108.48872544420803,	130.5857462370791
109.9148427450169,	132.6529065300896
111.47105602477532,	133.006914212548
114.23017715588979,	129.9585147247119
114.43984355838907,	130.68619718309856
117.70334374280652,	129.28983354673494
121.43047323017932,	128.43431498079383
123.30037482375539,	128.2868117797695
127.67310632736384,	127.56331983316204
128.87810037121392,	126.35434927159521
132.68462503005446,	126.32010243277847
135.9244023025565,	126.75733945878416
138.06923981134733,	126.35434927159521
140.6877667465977,	127.56331983316204
141.57159873247778,	127.86556247355374
143.80554694190235,	127.26107719277033
148.5703855085534,	128.04097311139563
152.24778576592016,	128.43431498079383
152.62080671129127,	129.1752805819178
153.57960472053978,	129.679018315904
154.54442611311558,	128.26855266074267
155.51530872925858,	129.679018315904
156.49229064692952,	127.26107719277033
161.35056127063106,	126.61510883482713
164.91170953100576,	124.25505761843789
165.85041295108596,	125.53341869398206
167.37808040182495,	124.35339308578743
168.9198193752002,	123.51754161331624
170.99758457160624,	122.804609475032
170.99758457160624,	121.25582586427655
172.3969404568813,	121.89500640204864
174.3397722266568,	123.07503201024326
176.3044987892033,	125.0417413572343
178.65501392883735,	126.77900128040972
179.0194026718197,	125.33674775928296
179.56737978874247,	125.77925736235593
184.5752742102683,	127.8934699103713
185.1402578104111,	127.0576184379001
185.1402578104111,	126.41843790012803
190.10979503080236,	126.40204865556976
190.88609023772383,	125.73008962868116
191.47039120079253,	127.6967989756722
194.61700337261806,	126.50038412291931
195.01394854455796,	125.0417413572343
197.4126794726298,	125.95134443021765
197.4126794726298,	126.91011523687578
202.29901961245724,	124.35339308578743
202.91825547107953,	123.4192061459667
202.91825547107953,	122.63252240717027
202.91825547107953,	121.84583866837386
203.95453027004504,	121.27221510883481
207.9408691120114,	120.64122919334186
208.32253895657283,	121.91467349551856
209.53578790979566,	121.13290653008961
212.43753224144845,	121.40332906530088
212.43753224144845,	120.71498079385401
212.7624186994247,	122.06709346991035
213.08780201503976,	123.09961587708065
216.36913008665366,	123.86171574903967
217.69576612880724,	126.61510883482713
218.09333031905754,	125.34687380362286
219.5667329986466,	127.38212548015363
221.04805200211862,	128.0901408450704
221.72467851538863,	129.0407170294494
226.93518292664882,	131.17787451984634
227.21278697688334,	132.81024327784888
228.3266031943304,	131.98422535211267
231.9843530196564,	130.84353393085786
233.5494481774839,	131.67938540332904
235.125102335611,	130.1748527528809
